instance,J,T,C,solver,status,objective,schedule
instances/MTSP/Laporte/Tabela4/L18-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[1, 6, 8, 3, 4, 7, 5, 2, 9]"
instances/MTSP/Laporte/Tabela4/L18-7.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[9, 4, 7, 2, 8, 6, 1, 5, 3]"
instances/MTSP/Laporte/Tabela4/L18-8.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 3, 6, 9, 4, 5, 8, 2, 1]"
instances/MTSP/Laporte/Tabela4/L18-9.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 6, 8, 7, 2, 3, 1, 4, 9]"
instances/MTSP/Laporte/Tabela4/L19-1.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[6, 7, 3, 4, 5, 8, 9, 2, 1]"
instances/MTSP/Laporte/Tabela4/L19-10.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[6, 1, 3, 4, 7, 2, 9, 5, 8]"
instances/MTSP/Laporte/Tabela4/L19-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 6, 1, 7, 3, 9, 8, 4, 5]"
instances/MTSP/Laporte/Tabela4/L19-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 5, 3, 1, 9, 6, 8, 4, 2]"
instances/MTSP/Laporte/Tabela4/L19-4.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[3, 4, 5, 2, 8, 1, 9, 6, 7]"
instances/MTSP/Laporte/Tabela4/L19-5.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 3, 8, 5, 4, 7, 6, 9, 1]"
instances/MTSP/Laporte/Tabela4/L19-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 7, 2, 8, 3, 4, 6, 1, 9]"
instances/MTSP/Laporte/Tabela4/L19-7.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[5, 3, 9, 7, 6, 2, 4, 1, 8]"
instances/MTSP/Laporte/Tabela4/L19-8.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[1, 5, 2, 3, 9, 6, 8, 4, 7]"
instances/MTSP/Laporte/Tabela4/L19-9.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[1, 7, 5, 8, 3, 2, 4, 9, 6]"
instances/MTSP/Laporte/Tabela4/L2-1.txt,9,15,10,org.minizinc.mip.cplex,satisfied,5,"[9, 1, 5, 6, 2, 8, 7, 3, 4]"
instances/MTSP/Laporte/Tabela4/L2-10.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[8, 3, 1, 7, 4, 2, 9, 5, 6]"
instances/MTSP/Laporte/Tabela4/L2-2.txt,9,15,10,org.minizinc.mip.cplex,satisfied,5,"[9, 1, 3, 7, 2, 4, 6, 5, 8]"
instances/MTSP/Laporte/Tabela4/L2-3.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[2, 8, 1, 9, 4, 5, 3, 6, 7]"
instances/MTSP/Laporte/Tabela4/L2-4.txt,9,15,10,org.minizinc.mip.cplex,satisfied,5,"[3, 1, 9, 6, 4, 7, 5, 2, 8]"
instances/MTSP/Laporte/Tabela4/L2-5.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[9, 8, 7, 6, 5, 4, 3, 1, 2]"
instances/MTSP/Laporte/Tabela4/L2-6.txt,9,15,10,org.minizinc.mip.cplex,satisfied,5,"[8, 9, 6, 2, 3, 4, 1, 5, 7]"
instances/MTSP/Laporte/Tabela4/L2-7.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[4, 1, 8, 2, 6, 3, 5, 7, 9]"
instances/MTSP/Laporte/Tabela4/L2-8.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[5, 6, 7, 8, 9, 1, 4, 3, 2]"
instances/MTSP/Laporte/Tabela4/L2-9.txt,9,15,10,org.minizinc.mip.cplex,optimal,5,"[8, 2, 4, 3, 1, 9, 6, 7, 5]"
instances/MTSP/Laporte/Tabela4/L20-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[1, 5, 8, 2, 6, 4, 3, 7, 9]"
instances/MTSP/Laporte/Tabela4/L20-10.txt,9,25,20,org.minizinc.mip.cplex,optimal,8,"[5, 8, 9, 7, 4, 2, 6, 1, 3]"
instances/MTSP/Laporte/Tabela4/L20-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,9,"[4, 2, 7, 8, 1, 3, 6, 5, 9]"
instances/MTSP/Laporte/Tabela4/L20-3.txt,9,25,20,org.minizinc.mip.cplex,optimal,11,"[9, 3, 2, 4, 5, 7, 1, 6, 8]"
instances/MTSP/Laporte/Tabela4/L20-4.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 7, 9, 2, 5, 6, 1, 8, 4]"
instances/MTSP/Laporte/Tabela4/L20-5.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 8, 7, 4, 6, 5, 3, 9, 1]"
instances/MTSP/Laporte/Tabela4/L20-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[8, 4, 2, 1, 9, 5, 3, 7, 6]"
instances/MTSP/Laporte/Tabela4/L20-7.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[2, 9, 3, 6, 5, 1, 4, 8, 7]"
instances/MTSP/Laporte/Tabela4/L20-8.txt,9,25,20,org.minizinc.mip.cplex,optimal,6,"[2, 3, 8, 9, 5, 6, 1, 7, 4]"
instances/MTSP/Laporte/Tabela4/L20-9.txt,9,25,20,org.minizinc.mip.cplex,satisfied,8,"[2, 6, 7, 8, 1, 4, 3, 5, 9]"
instances/MTSP/Laporte/Tabela4/L21-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[4, 8, 7, 9, 1, 5, 3, 2, 6]"
instances/MTSP/Laporte/Tabela4/L21-10.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 5, 3, 1, 2, 9, 8, 4, 6]"
instances/MTSP/Laporte/Tabela4/L21-2.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[6, 9, 5, 7, 1, 2, 8, 3, 4]"
instances/MTSP/Laporte/Tabela4/L21-3.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 9, 5, 6, 8, 1, 2, 4, 7]"
instances/MTSP/Laporte/Tabela4/L21-4.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[9, 3, 7, 1, 4, 5, 2, 6, 8]"
instances/MTSP/Laporte/Tabela4/L21-5.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 2, 6, 8, 4, 9, 1, 5, 7]"
instances/MTSP/Laporte/Tabela4/L21-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[2, 7, 1, 6, 8, 4, 9, 3, 5]"
instances/MTSP/Laporte/Tabela4/L21-7.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[1, 3, 5, 7, 8, 9, 4, 2, 6]"
instances/MTSP/Laporte/Tabela4/L21-8.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 1, 7, 5, 9, 8, 2, 4, 6]"
instances/MTSP/Laporte/Tabela4/L21-9.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[7, 2, 3, 5, 4, 8, 1, 6, 9]"
instances/MTSP/Laporte/Tabela4/L22-1.txt,9,25,20,org.minizinc.mip.cplex,satisfied,6,"[6, 4, 1, 7, 9, 8, 2, 3, 5]"
instances/MTSP/Laporte/Tabela4/L22-10.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 3, 9, 1, 2, 4, 7, 6, 8]"
instances/MTSP/Laporte/Tabela4/L22-2.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[6, 1, 3, 4, 2, 9, 5, 7, 8]"
instances/MTSP/Laporte/Tabela4/L22-3.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[8, 1, 3, 2, 9, 5, 7, 4, 6]"
instances/MTSP/Laporte/Tabela4/L22-4.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[5, 2, 6, 8, 3, 9, 7, 1, 4]"
instances/MTSP/Laporte/Tabela4/L22-5.txt,9,25,20,org.minizinc.mip.cplex,satisfied,6,"[4, 5, 1, 2, 6, 7, 9, 3, 8]"
instances/MTSP/Laporte/Tabela4/L22-6.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[4, 9, 1, 3, 2, 7, 6, 5, 8]"
instances/MTSP/Laporte/Tabela4/L22-7.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[3, 9, 5, 8, 4, 6, 2, 1, 7]"
instances/MTSP/Laporte/Tabela4/L22-8.txt,9,25,20,org.minizinc.mip.cplex,optimal,5,"[3, 7, 5, 1, 6, 9, 2, 8, 4]"
instances/MTSP/Laporte/Tabela4/L22-9.txt,9,25,20,org.minizinc.mip.cplex,satisfied,5,"[9, 1, 4, 2, 3, 5, 6, 8, 7]"
instances/MTSP/Laporte/Tabela4/L23-1.txt,9,25,20,org.minizinc.mip.cplex,optimal,9,"[7, 9, 6, 3, 4, 8, 2, 5, 1]"
