instance,J,T,C,solver,time_limit(msec),status,objective,sequence
instances/MTSP/Laporte/Tabela7/L2-3.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,6,"[5, 1, 3, 8, 9, 2, 10, 4, 6, 7]"
instances/MTSP/Laporte/Tabela7/L2-4.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,7,"[9, 3, 5, 2, 6, 1, 8, 4, 7, 10]"
instances/MTSP/Laporte/Tabela7/L2-5.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,5,"[8, 4, 7, 3, 2, 1, 10, 5, 6, 9]"
instances/MTSP/Laporte/Tabela7/L2-6.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,7,"[1, 4, 5, 8, 10, 2, 3, 6, 7, 9]"
instances/MTSP/Laporte/Tabela7/L2-7.txt,10,10,5,org.minizinc.mip.cplex,600000,optimal,7,"[3, 1, 2, 6, 4, 9, 8, 10, 7, 5]"
instances/MTSP/Laporte/Tabela7/L2-8.txt,10,10,5,org.chuffed.chuffed,150000,optimal,6,"[4, 8, 7, 6, 10, 1, 9, 5, 2, 3]"
instances/MTSP/Laporte/Tabela7/L2-9.txt,10,10,5,org.chuffed.chuffed,150000,optimal,6,"[8, 9, 3, 5, 10, 4, 2, 7, 1, 6]"
instances/MTSP/Laporte/Tabela7/L3-1.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[2, 7, 3, 10, 1, 4, 6, 8, 9, 5]"
instances/MTSP/Laporte/Tabela7/L3-10.txt,10,10,6,org.chuffed.chuffed,150000,optimal,5,"[8, 5, 9, 1, 6, 10, 2, 4, 7, 3]"
instances/MTSP/Laporte/Tabela7/L3-2.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[1, 4, 8, 9, 5, 6, 2, 10, 3, 7]"
instances/MTSP/Laporte/Tabela7/L3-3.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[1, 5, 9, 8, 2, 6, 3, 4, 10, 7]"
instances/MTSP/Laporte/Tabela7/L3-4.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[5, 3, 10, 6, 4, 2, 9, 1, 7, 8]"
instances/MTSP/Laporte/Tabela7/L3-5.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[1, 3, 5, 4, 10, 7, 6, 9, 8, 2]"
instances/MTSP/Laporte/Tabela7/L3-6.txt,10,10,6,org.chuffed.chuffed,600000,optimal,5,"[10, 8, 7, 5, 3, 6, 9, 2, 1, 4]"
instances/MTSP/Laporte/Tabela7/L3-7.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[4, 5, 8, 1, 7, 3, 10, 9, 2, 6]"
instances/MTSP/Laporte/Tabela7/L3-8.txt,10,10,6,org.minizinc.mip.cplex,600000,optimal,4,"[1, 9, 5, 7, 2, 8, 4, 6, 3, 10]"
instances/MTSP/Laporte/Tabela7/L3-9.txt,10,10,6,org.chuffed.chuffed,150000,optimal,5,"[2, 7, 4, 5, 10, 8, 9, 3, 6, 1]"
instances/MTSP/Laporte/Tabela7/L4-1.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[3, 8, 2, 9, 10, 7, 1, 5, 6, 4]"
instances/MTSP/Laporte/Tabela7/L4-10.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[5, 1, 6, 4, 2, 3, 8, 7, 10, 9]"
instances/MTSP/Laporte/Tabela7/L4-2.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[5, 10, 3, 4, 9, 8, 6, 1, 2, 7]"
instances/MTSP/Laporte/Tabela7/L4-3.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[2, 3, 9, 8, 1, 6, 10, 5, 4, 7]"
instances/MTSP/Laporte/Tabela7/L4-4.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[5, 1, 9, 4, 2, 7, 10, 6, 3, 8]"
instances/MTSP/Laporte/Tabela7/L4-5.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[1, 6, 3, 9, 2, 4, 8, 7, 5, 10]"
instances/MTSP/Laporte/Tabela7/L4-6.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[5, 7, 4, 10, 2, 9, 6, 3, 1, 8]"
instances/MTSP/Laporte/Tabela7/L4-7.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[6, 10, 4, 7, 1, 5, 3, 2, 9, 8]"
instances/MTSP/Laporte/Tabela7/L4-8.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[1, 10, 5, 6, 2, 7, 3, 8, 4, 9]"
instances/MTSP/Laporte/Tabela7/L4-9.txt,10,10,7,org.minizinc.mip.cplex,600000,optimal,3,"[3, 6, 7, 9, 2, 8, 1, 10, 5, 4]"
instances/MTSP/Laporte/Tabela7/L5-1.txt,15,20,6,yuck,150000,satisfied,25,"[10, 9, 4, 12, 1, 14, 15, 8, 7, 6, 13, 5, 3, 2, 11]"
instances/MTSP/Laporte/Tabela7/L5-10.txt,15,20,6,org.minizinc.mip.cplex,600000,satisfied,27,"[3, 2, 8, 1, 15, 6, 13, 9, 7, 12, 4, 11, 5, 10, 14]"
instances/MTSP/Laporte/Tabela7/L5-2.txt,15,20,6,yuck,150000,satisfied,19,"[15, 6, 1, 14, 2, 11, 9, 5, 7, 12, 13, 3, 4, 10, 8]"
instances/MTSP/Laporte/Tabela7/L5-3.txt,15,20,6,yuck,150000,satisfied,21,"[14, 5, 15, 2, 10, 11, 1, 13, 7, 8, 4, 12, 3, 6, 9]"
instances/MTSP/Laporte/Tabela7/L5-4.txt,15,20,6,yuck,150000,satisfied,20,"[7, 15, 3, 1, 14, 12, 10, 5, 4, 8, 2, 13, 9, 6, 11]"
instances/MTSP/Laporte/Tabela7/L5-5.txt,15,20,6,yuck,150000,satisfied,20,"[1, 15, 9, 7, 5, 11, 13, 8, 2, 4, 14, 6, 10, 3, 12]"
instances/MTSP/Laporte/Tabela7/L5-6.txt,15,20,6,yuck,150000,satisfied,18,"[3, 14, 10, 9, 15, 12, 11, 2, 13, 5, 7, 6, 1, 4, 8]"
instances/MTSP/Laporte/Tabela7/L5-7.txt,15,20,6,org.minizinc.mip.cplex,300000,satisfied,27,"[1, 2, 14, 11, 12, 6, 10, 3, 7, 13, 8, 15, 4, 5, 9]"
